company_number,company_name,employees,turnover,balance_sheet,accounts_date
00401419,G HASLEHURST BUILDERS LIMITED,10.0,,33500.0,31 March 2
00332129,Gascoignes of Coleshill Limited,3.0,,623648.0,31 March 2
00332183,Mawby & King Limited,38.0,,3852376.0,31 March 2
00056685,Exmouth Marina Ltd,7000.0,,6459000.0,31 March 2
00058588,DMAS Property Limited,0.0,,5753574.0,31 March 2
00334637,E JOY (Deptford) Ltd,8.0,,245948.0,31 March 2
00399642,ROYAL MINT SERVICES LIMITED,,,1000.0,31 March 2
00321338,WILSON BROS. (LOUGHBOROUGH) LIMITED,2.0,,6723.0,31 March 2
00321163,BROADWAY MARKET (1936) LIMITED,6.0,,1153021.0,31 March 2
00320606,M.P.M. Entertainments Corporation Limited,3.0,,46066.0,31 March 2
00067100,OAKLEIGH PARK LAUNDRY COMPANY LIMITED(THE),0.0,,55000.0,31 March 2
00320451,H.H. Property Company Limited,0.0,,235997.0,31 March 2
00074306,Darwin Science Park Limited,,,2083.0,31 March 2
00075049,M.Nicol & Co.Limited,2.0,,761.0,31 March 2
00334636,COOKSEY'S ESTATES LIMITED,2.0,,880795.0,31 March 2
00110367,BLACKPOOL PLEASURE BEACH (1910) COMPANY,,,606000.0,31 March 2
00315597,Continental Comestibles Limited,2.0,,400722.0,31 March 2
00126279,Northenden Golf Club Limited,4.0,,1450000.0,31 March 2
00287916,The Walsall Box Company Limited,20.0,,543232.0,31 March 2
00010931,"LIVERPOOL UNION BUILDINGS COMPANY,LIMITED",2.0,,1013957.0,31 March 2
00289522,Ernest Hinchliffe Limited,5.0,,176491.0,31 March 2
00138221,DORKING GOLF CLUB LIMITED,4.0,,90163.0,31 March 2
00299022,BRISCO (BUILDERS) LIMITED,1.0,,569556.0,31 March 2
00388268,Roberts & Sons (Curers) Limited,0.0,,200.0,31 March 2
00123786,"BIRMINGHAM PRESS CLUB,LIMITED(THE)",0.0,,5136.0,31 March 2
00125275,Geerings (Medway) Limited,2.0,,623556.0,31 March 2
00135594,Marments Limited,1.0,,5152795.0,31 March 2
00298781,Peake Estates Limited,4.0,,1450000.0,31 March 2
00298118,Ross-Shiells Limited,2.0,,1150.0,31 March 2
00134594,CHATTERIS UNIONIST CLUB COMPANY LIMITED(THE),0.0,,712.0,31 March 2
00294988,Auto Service Garage (Bournemouth) Limited,1.0,,364141.0,31 March 2
00296759,BARKING DEVELOPMENTS COMPANY LIMITED,2.0,,67987.0,31 March 2
00125996,"Allard & Company,Limited",2.0,,11371.0,31 March 2
00297218,COOMBE WOOD LAWN TENNIS CLUB LIMITED,4.0,,9354.0,31 March 2
