company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name
02101313,SEYMOUR HOUSE LTD.,305,13289230.0,183732.0,2025-03-31,EMPLOYEE_TEST,,
01660972,WINDSOR HOLDINGS LIMITED,326,21631889.0,5871318.0,2025-03-31,EMPLOYEE_TEST,,
01623967,Munnelly Support Services Limited,34000,39810000.0,9749000.0,2025-03-31,EMPLOYEE_TEST,,
04673404,4th Dimension Innovation Limited,501,85921545.0,7412845.0,2025-03-31,EMPLOYEE_TEST,,
04679678,Principal Medical Limited,270,15563003.0,1183185.0,2025-03-31,EMPLOYEE_TEST,,
04725724,Borderbrite Limited,338,,934695.0,2025-03-31,EMPLOYEE_TEST,,
05660595,EDINA UK LIMITED,169,63982583.0,42129971.0,2025-03-31,FINANCIAL_TEST,,
05719828,WORKCHAIN LTD,458,13153950.0,20940.0,2025-03-31,EMPLOYEE_TEST,,
05555977,Guardior Security Limited,65000,,217000.0,2025-03-31,EMPLOYEE_TEST,,
NI055050,MANFREIGHT LIMITED,478,77760053.0,49550185.0,2025-03-31,EMPLOYEE_TEST,,
05333010,Deluxe Services Limited,889,,1997361.0,2025-03-31,EMPLOYEE_TEST,,
NI032483,J.F. & H. Dowds Limited,262,65329771.0,4763224.0,2025-03-31,EMPLOYEE_TEST,,
04161609,MacRail Systems Limited,26000,,1550000.0,2025-03-31,EMPLOYEE_TEST,,
03940981,RAPID EMPLOYMENT AND RECRUITMENT LIMITED,335,,775922.0,2025-03-31,EMPLOYEE_TEST,,
04394106,VALLI FORECOURTS LIMITED,297,,64980705.0,2025-03-31,EMPLOYEE_TEST,,
04492795,The Severn Partnership Limited,47000,,748000.0,2025-03-31,EMPLOYEE_TEST,,
13961990,Hunt4Enterprises Ltd,454,,203559.0,2025-03-31,EMPLOYEE_TEST,,
11768204,Bishopsgate Employment Services Limited,622000,51786000.0,607000.0,2025-03-31,EMPLOYEE_TEST,,
11768606,Bishopsgate Group Limited,14000,1537000.0,64000.0,2025-03-31,EMPLOYEE_TEST,,
11521776,Weston Analytics Limited,14000,,577000.0,2025-03-31,EMPLOYEE_TEST,,
11621575,EFS Global Limited,386,63367134.0,14443352.0,2025-03-31,EMPLOYEE_TEST,,
10834427,Acacia Care Investments Ltd,406,36441153.0,1363109.0,2025-03-31,EMPLOYEE_TEST,,
13282015,HR Employment Ltd,294,,102742.0,2025-03-31,EMPLOYEE_TEST,,
10717369,Regency Soft Services Limited,309,,2848657.0,2025-03-31,EMPLOYEE_TEST,,
11000891,Rock Compliance Holdings Limited,303,19781663.0,4187325.0,2025-03-31,EMPLOYEE_TEST,,
12476350,PWC Newco Limited,697000,28246000.0,45561000.0,2025-03-31,EMPLOYEE_TEST,,
12367945,Bridgehead Consultancy Limited,15000,,-935000.0,2025-03-31,EMPLOYEE_TEST,,
12411111,Sierra 1 Security Stewarding Ltd,416,,281770.0,2025-03-31,EMPLOYEE_TEST,,
12405444,PWC Holdco 1 Limited,697000,28246000.0,45561000.0,2025-03-31,EMPLOYEE_TEST,,
12405502,Trinity Homecare Holdings Limited,3000,140000.0,24494000.0,2025-03-31,EMPLOYEE_TEST,,
12753911,EFS Investments Limited,575,84263348.0,25870959.0,2025-03-31,EMPLOYEE_TEST,,
12973716,North Somerset Environment Company Limited,288,20520738.0,-846442.0,2025-03-31,EMPLOYEE_TEST,,
11810616,TAKEQUADRANTON. LTD,380,,515215.0,2025-03-31,EMPLOYEE_TEST,,
12123134,Bishopsgate Contracting Services Limited,3000,89174000.0,120000.0,2025-03-31,EMPLOYEE_TEST,,
12213029,SWISCO LIMITED,310,24895221.0,5186106.0,2025-03-31,EMPLOYEE_TEST,,
11972429,Orient Industrial Holdings Limited,309,56472904.0,17394377.0,2025-03-31,EMPLOYEE_TEST,,
14251187,EFS Global Holdings Ltd,748,117888588.0,27429356.0,2025-03-31,EMPLOYEE_TEST,,
