company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name,company_status,jurisdiction,registered_address,sic_codes
15331879,MEDITERRANEAN URUCI CONSTRUCTION LTD,2569,,4500.0,31 Decembe,EMPLOYEE_TEST,,,active,england-wales,"12 Percy Street, Nelson, BB9 0AA",41201;41202;42110
09813979,COUNTRY COURT CARE GROUP LIMITED,2548,,205.0,,EMPLOYEE_TEST,,,,,,
SC821066,PARK'S OF HAMILTON (INVESTMENTS) LIMITED,2198,,270000000.0,,EMPLOYEE_TEST,,,active,scotland,"Park House, 14 Bothwell Road, Hamilton, ML3 0AY",70100
04386504,INDUSTRIA PERSONNEL SERVICES LTD.,2171,,508762.0,,EMPLOYEE_TEST,,,active,england-wales,"80-82 Charles Street Charles Street, Leicester, LE1 1FB",78200
09061357,MCGROVE DEVELOPMENTS LIMITED,2024,,,2025-04-30,EMPLOYEE_TEST,,,active,england-wales,"Grenville Court, Britwell Road, Burnham, SL1 8DF",41100
14702578,MCGROVE DEVELOPMENTS TOPCO LIMITED,2024,,400676755.0,2025-04-30,EMPLOYEE_TEST,,,active,england-wales,"Grenville Court, Britwell Road, Burnham, SL1 8DF",96090
06778302,PAN-ASIA COMMUNITY HOUSING,2024,,,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"9 Herbert Road, Sandwell, B67 5DD",55900
12405240,PWC Midco Limited,2000,,32275000.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"12-18 Grosvenor Gardens, 5th Floor, London, SW1W 0DH",64209
12405164,PWC Topco Limited,2000,,24194000.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"12-18 Grosvenor Gardens, 5th Floor, London, SW1W 0DH",64209
09976204,TELUS Health (UK) Holdco Limited,2000,,123384000.0,2024-12-31,EMPLOYEE_TEST,,,active,england-wales,"54 Portland Place, London, W1B 1DY",78300
06655187,AVERY HOMES (NELSON) LIMITED,1699,81466698.0,12911650.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"3 Cygnet Drive, Swan Valley, Northampton, NN4 9BS",87300
11061429,Gov Facility Services Limited,1680,189407000.0,40161000.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"102 Petty France, London, SW1H 9AJ",81100
14199213,HARBOUR HEALTHCARE GROUP LIMITED,1670,,6351811.0,,EMPLOYEE_TEST,,,active,england-wales,"The Lodge House, Dodge Hill, Stockport, SK4 1RD",96090
13236522,MORTLAKE HOLDINGS LIMITED,1559,41765855.0,1139454.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"2-10 Laurel Grove, London, SE26 4JY",96090
05302971,CARE OUTLOOK LTD,1559,41765855.0,308313.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"2-10 Laurel Grove, London, SE26 4JY",86900
09020971,COUNTRY COURT CARE HOMES 2 LIMITED,1498,63844055.0,170341578.0,,EMPLOYEE_TEST,,,active,england-wales,"C/O Duncan & Toplis Limited Enterprise Way, Pinchbeck, Spalding, PE11 3YR",87100;87300
NI038310,Eventsec Ltd,1392,,717224.0,31 March 2,EMPLOYEE_TEST,,,active,northern-ireland,"2 Queens Quay, Belfast, BT3 9QQ",80100
06195309,LAF HOLDINGS LTD AND SUBSIDIARIES,1251,,111202361.0,,EMPLOYEE_TEST,,,active,england-wales,"C/O Laf Holdings, The Mill,, Morton, Oswestry, Shropshire, SY10 8BH",70100
07864027,HARBOUR HEALTHCARE LTD,1234,,55600194.0,,EMPLOYEE_TEST,,,active,england-wales,"Lodge House, Dodge Hill, Stockport, SK4 1RD",86102
07565839,K G GROUNDWORKS LIMITED,1187,,7443.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"1b The Svt Building, Holloway Road, Holloway Road, CM9 4ER",43999
00719446,Heygate and Sons Limited,1178,,21071864.0,,EMPLOYEE_TEST,,,active,england-wales,"Bugbrooke Mills, Bugbrooke, Northampton, NN7 3QH",10910
10483079,Restful Homes Group Ltd.,1146,67283966.0,260449814.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Chester House, 388 Chester Road, Stonnall, WS9 9DE",82990
SC177939,ROSS-SHIRE ENGINEERING LIMITED,1127,,81041000.0,2025-03-31,EMPLOYEE_TEST,,,active,scotland,"Muir Of Ord Industrial Estate, Muir Of Ord, Ross-Shire, IV6 7UA",25110;28990;33200;43999
05380768,TOTAL CATERING SOLUTIONS RECRUITMENT LTD,1052,,54172.0,,EMPLOYEE_TEST,,,active,england-wales,"7 Lower Brook Street, Oswestry, SY11 2HG",78200
08982994,Berkeley Home Health Holdco Limited,1000,,1073000.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Trinity Homecare Group, 1-15 Central Road, Worcester Park, KT4 8EG",86900
SC212151,Vigilant Protect UK Limited,933,37835539.0,100834.0,,EMPLOYEE_TEST,,,active,scotland,"1st Floor Left, 161 Brooms Road, Dumfries, DG1 2SH",80100
SC753198,M&W Security Limited,933,,6596680.0,,EMPLOYEE_TEST,,,active,scotland,"1st Floor Left, 161 Brooms Road, Dumfries, DG1 2SH",80100
03841043,SPLENDID.CO.UK LIMITED,910,,-44978.0,31/03/2025,EMPLOYEE_TEST,,,active,england-wales,"Studio 303 Edinburgh House, 170 Kennington Lane, London, SE11 5DP",56210;78200
13903815,VCMP UK LIMITED,899,72122857.0,-3416557.0,,EMPLOYEE_TEST,,,active,england-wales,"New Timber Yard, 1 Dimes Place, London, W6 0QR",78109;94110;97000
05333010,Deluxe Services Limited,889,,1997361.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Ground Floor A4, The Vista Centre, Salisbury Road, Hounslow, TW4 6JQ",78109
