company_number,company_name,company_status,company_type,date_of_creation,address_line_1,address_line_2,locality,postal_code,country,sic_codes,name_norm,outward_postcode,match_key,accounts_type,last_accounts_made_up_to,next_accounts_due,has_recent_accounts,accounts_overdue,sic_codes_ch,is_group_like,parent_name,parent_postcode,parent_match_key,parent_in_esos,covered_by_group,age_years,primary_sic,sector,esos_score,accounts_type_lower,is_uk
12332552,SWISS COTTAGE DRY CLEANING LTD,active,ltd,2019-11-25,11 Fairhazel Gardens,,London,NW6 3QE,England,['96010'],SWISSCOTTAGEDRYCLEANING,NW6,SWISSCOTTAGEDRYCLEANING|NW6,unaudited-abridged,2024-11-30,2026-08-31,True,False,96010,False,,,,False,False,6.108145106091718,96010,Other,2,unaudited-abridged,True
12414898,DREAMSCAPE AND MAINTENANCE LTD,active,ltd,2020-01-20,40 Oakmere Lane,,Potters Bar,EN6 5LT,England,['81300'],DREAMSCAPEANDMAINTENANCE,EN6,DREAMSCAPEANDMAINTENANCE|EN6,total-exemption-full,2023-01-31,2024-10-31,True,True,81300,False,,,,False,False,5.95482546201232,81300,Buildings,2,total-exemption-full,True
12458831,BUILD MASTER NW LTD,active,ltd,2020-02-12,Unit 11 Bingswood Trading Estate,Whaley Bridge,High Peak,SK23 7LY,England,['43390'],BUILDMASTERNW,SK23,BUILDMASTERNW|SK23,total-exemption-full,2021-02-28,2023-05-31,True,True,43390,False,,,,False,False,5.891854893908282,43390,Buildings,2,total-exemption-full,True
SC449423,PIVOTAL SCOTLAND LTD,active,ltd,2013-05-07,C/O Prmier Accounting 15 Townhead,Kirkintilloch,Glasgow,G66 1NG,Scotland,['85590'],PIVOTALSCOTLAND,G66,PIVOTALSCOTLAND|G66,total-exemption-full,2021-05-31,2023-02-28,True,True,85590,False,,,,False,False,12.659822039698836,85590,Other,2,total-exemption-full,True
SC455938,"A,T & B LTD.",active,ltd,2013-08-02,2b Kingston Estate,Ardgowan Street,Port Glasgow,PA14 5DG,Scotland,['47990'],ATANDB,PA14,ATANDB|PA14,total-exemption-full,2021-08-31,2023-05-31,True,True,47990,False,,,,False,False,12.421629021218344,47990,Other,2,total-exemption-full,True
SC530748,CITY HARBOUR LIMITED,active,ltd,2016-03-29,Unit 3/4  City Quay,Camperdown Street,Dundee,DD1 3JA,Scotland,['56101'],CITYHARBOUR,DD1,CITYHARBOUR|DD1,total-exemption-full,2020-02-28,2021-11-30,True,True,56101,False,,,,False,False,9.765913757700206,56101,Other,2,total-exemption-full,True
SC535288,G S BARBERS LTD,active,ltd,2016-05-12,13 Hope Street,,Lanark,ML11 7NL,Scotland,['96020'],GSBARBERS,ML11,GSBARBERS|ML11,total-exemption-full,2020-05-31,2022-05-31,True,True,96020,False,,,,False,False,9.645448323066393,96020,Other,2,total-exemption-full,True
SC555814,PARKE STONE CONTRACTS LTD,active,ltd,2017-01-27,Crask Cottage,Culbokie,Dingwall,IV7 8JS,Scotland,['43290'],PARKESTONECONTRACTS,IV7,PARKESTONECONTRACTS|IV7,unaudited-abridged,2020-01-31,2021-10-31,True,True,43290,False,,,,False,False,8.933607118412047,43290,Buildings,2,unaudited-abridged,True
SC591276,MACO PROJECT SERVICES LTD,active,ltd,2018-03-14,58 Long Lane,Broughty Ferry,Dundee,DD5 1HH,United Kingdom,['43999'],MACOPROJECT,DD5,MACOPROJECT|DD5,total-exemption-full,2020-03-31,2022-03-31,True,True,43999,False,,,,False,False,7.808350444900753,43999,Buildings,2,total-exemption-full,True
SC637756,LOCHMILL LTD,active,ltd,2019-08-02,18 Greentree Drive,Baillieston,Glasgow,G69 7UW,United Kingdom,"['45112', '68100', '68209']",LOCHMILL,G69,LOCHMILL|G69,,,2021-05-02,False,True,45112;68100;68209,True,,,,False,False,6.422997946611909,45112,Other,2,,True
